ttl;humidity;deviceId;co2;temperature;timestamp;datetime
1793635440.0;39.9;esp32-001;943.0;24.34;1762098373000.0;2025-11-02 15:46:13.000000000
1793635442.0;40.0;esp32-001;914.0;24.34;1762098388000.0;2025-11-02 15:46:28.000000000
1793635443.0;40.2;esp32-001;935.0;24.33;1762098403000.0;2025-11-02 15:46:43.000000000
1793635444.0;39.9;esp32-001;929.0;24.32;1762098417000.0;2025-11-02 15:46:57.000000000
1793635445.0;39.8;esp32-001;921.0;24.31;1762098432000.0;2025-11-02 15:47:12.000000000
1793635446.0;40.1;esp32-001;947.0;24.31;1762098447000.0;2025-11-02 15:47:27.000000000
1793635447.0;40.5;esp32-001;898.0;23.65;1762099250000.0;2025-11-02 16:00:50.000000000
1793635447.0;39.5;esp32-001;899.0;23.7;1762099270000.0;2025-11-02 16:01:10.000000000
1793635448.0;39.6;esp32-001;888.0;23.73;1762099288000.0;2025-11-02 16:01:28.000000000
1793635449.0;39.6;esp32-001;860.0;23.75;1762099307000.0;2025-11-02 16:01:47.000000000
1793635450.0;39.6;esp32-001;881.0;23.79;1762099326000.0;2025-11-02 16:02:06.000000000
1793635451.0;39.6;esp32-001;863.0;23.82;1762099345000.0;2025-11-02 16:02:25.000000000
1793635452.0;39.6;esp32-001;844.0;23.85;1762099363000.0;2025-11-02 16:02:43.000000000
1793635453.0;39.6;esp32-001;854.0;23.88;1762099382000.0;2025-11-02 16:03:02.000000000
1793635454.0;39.6;esp32-001;872.0;23.9;1762099401000.0;2025-11-02 16:03:21.000000000
1793635455.0;39.6;esp32-001;869.0;23.93;1762099420000.0;2025-11-02 16:03:40.000000000
1793635456.0;39.6;esp32-001;858.0;23.95;1762099439000.0;2025-11-02 16:03:59.000000000
1793635474.0;39.6;esp32-001;842.0;23.98;1762099474000.0;2025-11-02 16:04:34.000000000
1793635493.0;39.7;esp32-001;858.0;24.0;1762099492000.0;2025-11-02 16:04:52.000000000
1793635512.0;39.7;esp32-001;861.0;24.02;1762099511000.0;2025-11-02 16:05:11.000000000
1793635531.0;39.7;esp32-001;861.0;24.03;1762099530000.0;2025-11-02 16:05:30.000000000
1793635550.0;39.8;esp32-001;870.0;24.04;1762099549000.0;2025-11-02 16:05:49.000000000
1793635568.0;39.6;esp32-001;857.0;24.05;1762099567000.0;2025-11-02 16:06:07.000000000
1793635587.0;39.6;esp32-001;843.0;24.07;1762099586000.0;2025-11-02 16:06:26.000000000
1793635606.0;39.9;esp32-001;861.0;24.08;1762099605000.0;2025-11-02 16:06:45.000000000
1793635624.0;39.7;esp32-001;860.0;24.09;1762099624000.0;2025-11-02 16:07:04.000000000
1793635643.0;39.6;esp32-001;841.0;24.11;1762099642000.0;2025-11-02 16:07:22.000000000
1793635662.0;39.6;esp32-001;856.0;24.11;1762099661000.0;2025-11-02 16:07:41.000000000
1793635681.0;39.6;esp32-001;851.0;24.13;1762099680000.0;2025-11-02 16:08:00.000000000
1793635699.0;39.5;esp32-001;830.0;24.14;1762099699000.0;2025-11-02 16:08:19.000000000
1793635718.0;39.5;esp32-001;855.0;24.14;1762099717000.0;2025-11-02 16:08:37.000000000
1793635737.0;39.6;esp32-001;847.0;24.16;1762099736000.0;2025-11-02 16:08:56.000000000
1793635755.0;39.5;esp32-001;827.0;24.17;1762099755000.0;2025-11-02 16:09:15.000000000
1793635774.0;39.6;esp32-001;838.0;24.17;1762099773000.0;2025-11-02 16:09:33.000000000
1793635793.0;39.7;esp32-001;832.0;24.18;1762099792000.0;2025-11-02 16:09:52.000000000
1793635812.0;39.9;esp32-001;836.0;24.18;1762099811000.0;2025-11-02 16:10:11.000000000
1793635830.0;39.7;esp32-001;841.0;24.18;1762099829000.0;2025-11-02 16:10:29.000000000
1793635849.0;39.7;esp32-001;823.0;24.18;1762099848000.0;2025-11-02 16:10:48.000000000
1793635868.0;39.8;esp32-001;834.0;24.18;1762099867000.0;2025-11-02 16:11:07.000000000
1793635887.0;39.6;esp32-001;841.0;24.18;1762099886000.0;2025-11-02 16:11:26.000000000
1793635905.0;39.6;esp32-001;834.0;24.18;1762099905000.0;2025-11-02 16:11:45.000000000
1793635924.0;39.6;esp32-001;848.0;24.18;1762099923000.0;2025-11-02 16:12:03.000000000
1793635943.0;39.8;esp32-001;848.0;24.19;1762099942000.0;2025-11-02 16:12:22.000000000
1793635961.0;40.0;esp32-001;831.0;24.18;1762099961000.0;2025-11-02 16:12:41.000000000
1793635980.0;39.7;esp32-001;841.0;24.18;1762099979000.0;2025-11-02 16:12:59.000000000
1793635999.0;39.6;esp32-001;819.0;24.18;1762099998000.0;2025-11-02 16:13:18.000000000
1793636017.0;39.7;esp32-001;844.0;24.18;1762100017000.0;2025-11-02 16:13:37.000000000
1793636036.0;39.7;esp32-001;842.0;24.18;1762100035000.0;2025-11-02 16:13:55.000000000
1793636055.0;39.8;esp32-001;827.0;24.18;1762100054000.0;2025-11-02 16:14:14.000000000
1793636073.0;39.6;esp32-001;852.0;24.18;1762100073000.0;2025-11-02 16:14:33.000000000
1793636092.0;39.7;esp32-001;849.0;24.18;1762100091000.0;2025-11-02 16:14:51.000000000
1793636111.0;39.7;esp32-001;849.0;24.18;1762100110000.0;2025-11-02 16:15:10.000000000
1793636129.0;39.5;esp32-001;830.0;24.18;1762100129000.0;2025-11-02 16:15:29.000000000
1793636148.0;39.6;esp32-001;848.0;24.18;1762100147000.0;2025-11-02 16:15:47.000000000
1793636167.0;39.8;esp32-001;841.0;24.18;1762100166000.0;2025-11-02 16:16:06.000000000
1793636186.0;39.6;esp32-001;827.0;24.18;1762100185000.0;2025-11-02 16:16:25.000000000
1793636205.0;39.5;esp32-001;843.0;24.18;1762100204000.0;2025-11-02 16:16:44.000000000
1793636223.0;39.6;esp32-001;867.0;24.18;1762100223000.0;2025-11-02 16:17:03.000000000
1793636242.0;39.6;esp32-001;856.0;24.18;1762100241000.0;2025-11-02 16:17:21.000000000
